"Season","StartDate","GameType","HomeTeam","HomePoints","HomeWinner","AwayTeam","AwayPoints"
"2024","2024-03-19T18:40:00.000Z","TRNMNT","Howard","68","false","Wagner","71"
"2024","2024-03-19T19:00:00.000Z","TRNMNT","Georgia","78","true","Xavier","76"
"2024","2024-03-19T19:00:00.000Z","TRNMNT","Providence","57","false","Boston College","62"
"2024","2024-03-19T19:00:00.000Z","TRNMNT","Ohio State","88","true","Cornell","83"
"2024","2024-03-19T19:00:00.000Z","TRNMNT","Tarleton State","82","true","Texas Southern","71"
"2024","2024-03-19T19:00:00.000Z","TRNMNT","LSU","77","false","North Texas","84"
"2024","2024-03-19T21:00:00.000Z","TRNMNT","UCF","77","false","South Florida","83"
"2024","2024-03-19T21:00:00.000Z","TRNMNT","Virginia Tech","74","true","Richmond","58"
"2024","2024-03-19T21:00:00.000Z","TRNMNT","Iowa","91","true","Kansas State","82"
"2024","2024-03-19T21:00:00.000Z","TRNMNT","Butler","72","false","Minnesota","73"
"2024","2024-03-19T21:00:00.000Z","TRNMNT","Texas A&M-Corpus Christi","63","false","Abilene Christian","73"
"2024","2024-03-19T21:10:00.000Z","TRNMNT","Virginia","42","false","Colorado State","67"
"2024","2024-03-19T23:00:00.000Z","TRNMNT","Utah","84","true","UC Irvine","75"
"2024","2024-03-20T18:40:00.000Z","TRNMNT","Montana State","81","false","Grambling","88"
"2024","2024-03-20T19:00:00.000Z","TRNMNT","Seton Hall","75","true","Saint Joseph's","72"
"2024","2024-03-20T19:00:00.000Z","TRNMNT","Bowling Green","75","false","Purdue Fort Wayne","77"
"2024","2024-03-20T19:00:00.000Z","TRNMNT","Bradley","74","true","Loyola Chicago","62"
"2024","2024-03-20T19:00:00.000Z","TRNMNT","Indiana State","101","true","SMU","92"
"2024","2024-03-20T19:00:00.000Z","TRNMNT","Tarleton State","86","true","Abilene Christian","59"
"2024","2024-03-20T20:00:00.000Z","TRNMNT","Wake Forest","87","true","App State","76"
"2024","2024-03-20T20:00:00.000Z","TRNMNT","Austin Peay","71","false","Alabama A&M","81"
"2024","2024-03-20T20:00:00.000Z","TRNMNT","Princeton","77","false","UNLV","84"
"2024","2024-03-20T21:00:00.000Z","TRNMNT","Cincinnati","73","true","San Francisco","72"
"2024","2024-03-20T21:00:00.000Z","TRNMNT","Villanova","61","false","VCU","70"
"2024","2024-03-20T21:28:00.000Z","TRNMNT","Boise State","53","false","Colorado","60"
"2024","2024-03-20T21:28:00.000Z","TRNMNT","Boise State","53","false","Colorado","60"
"2024","2024-03-21T12:15:00.000Z","TRNMNT","Mississippi State","51","false","Michigan State","69"
"2024","2024-03-21T12:40:00.000Z","TRNMNT","BYU","67","false","Duquesne","71"
"2024","2024-03-21T13:30:00.000Z","TRNMNT","Creighton","77","true","Akron","60"
"2024","2024-03-21T14:00:00.000Z","TRNMNT","Arizona","85","true","Long Beach State","65"
"2024","2024-03-21T14:45:00.000Z","TRNMNT","North Carolina","90","true","Wagner","62"
"2024","2024-03-21T15:30:00.000Z","TRNMNT","Illinois","85","true","Morehead State","69"
"2024","2024-03-21T16:00:00.000Z","TRNMNT","South Carolina","73","false","Oregon","87"
"2024","2024-03-21T16:45:00.000Z","TRNMNT","Dayton","63","true","Nevada","60"
"2024","2024-03-21T18:50:00.000Z","TRNMNT","Texas","56","true","Colorado State","44"
"2024","2024-03-21T19:20:00.000Z","TRNMNT","Kentucky","76","false","Oakland","80"
"2024","2024-03-21T19:35:00.000Z","TRNMNT","Iowa State","82","true","South Dakota State","65"
"2024","2024-03-21T19:47:00.000Z","TRNMNT","Gonzaga","86","true","McNeese","65"
"2024","2024-03-21T21:20:00.000Z","TRNMNT","Tennessee","83","true","Saint Peter's","49"
"2024","2024-03-21T22:10:00.000Z","TRNMNT","Texas Tech","67","false","NC State","80"
"2024","2024-03-21T22:12:00.000Z","TRNMNT","Washington State","66","true","Drake","61"
"2024","2024-03-21T22:20:00.000Z","TRNMNT","Kansas","93","true","Samford","89"
"2024","2024-03-22T12:15:00.000Z","TRNMNT","Florida Atlantic","65","false","Northwestern","77"
"2024","2024-03-22T12:40:00.000Z","TRNMNT","Baylor","92","true","Colgate","67"
"2024","2024-03-22T13:45:00.000Z","TRNMNT","San Diego State","69","true","UAB","65"
"2024","2024-03-22T14:00:00.000Z","TRNMNT","Marquette","87","true","Western Kentucky","69"
"2024","2024-03-22T15:10:00.000Z","TRNMNT","Clemson","77","true","New Mexico","56"
"2024","2024-03-22T15:22:00.000Z","TRNMNT","UConn","91","true","Stetson","52"
"2024","2024-03-22T16:33:00.000Z","TRNMNT","Auburn","76","false","Yale","78"
"2024","2024-03-22T16:38:00.000Z","TRNMNT","Florida","100","false","Colorado","102"
"2024","2024-03-22T16:38:00.000Z","TRNMNT","Florida","100","false","Colorado","102"
