abbreviation,team_name
AKRON,Akron Zips
ALA,Alabama Crimson Tide
ARIZ,Arizona Wildcats
AUBURN,Auburn Tigers
BAYLOR,Baylor Bears
BOISE,Boise State Broncos
BYU,Brigham Young Cougars
C OF C,College of Charleston Cougars
CLEM,Clemson Tigers
CO ST,Colorado State Rams
COLGAT,Colgate Raiders
COLO,Colorado Buffaloes
CREIGH,Creighton Bluejays
DAYTON,Dayton Flyers
DRAKE,Drake Bulldogs
DUKE,Duke Blue Devils
DUQSNE,Duquesne Dukes
FAU,Florida Atlantic Owls
FLA,Florida Gators
GCANYN,Grand Canyon Antelopes
GONZ,Gonzaga Bulldogs
GRAMB,Grambling State Tigers
HOU,Houston Cougars
HOWARD,Howard Bison
ILL,Illinois Fighting Illini
IOWAST,Iowa State Cyclones
JMU,James Madison Dukes
KANSAS,Kansas Jayhawks
LBSU,Long Beach State Beach
LONGWD,Longwood Lancers
MARQ,Marquette Golden Eagles
MCNEES,McNeese State Cowboys
MICHST,Michigan State Spartans
MISSST,Mississippi State Bulldogs
MONTST,Montana State Bobcats
MOREST,Morehead State Eagles
N MEX,New Mexico Lobos
NC ST,North Carolina State Wolfpack
NEB,Nebraska Cornhuskers
NEVADA,Nevada Wolf Pack
NW,Northwestern Wildcats
OAK,Oakland Golden Grizzlies
OREGN,Oregon Ducks
PURDUE,Purdue Boilermakers
S CAR,South Carolina Gamecocks
SAMFRD,Samford Bulldogs
SDAKST,South Dakota State Jackrabbits
SDSU,San Diego State Aztecs
ST PTR,Saint Peter's Peacocks
STETSN,Stetson Hatters
STMARY,Saint Mary's Gaels
TCU,Texas Christian Horned Frogs
TENN,Tennessee Volunteers
TEXAS,Texas Longhorns
TX A&M,Texas A&M Aggies
TXTECH,Texas Tech Red Raiders
UAB,Alabama-Birmingham Blazers
UCONN,Connecticut Huskies
UK,Kentucky Wildcats
UNC,North Carolina Tar Heels
UT ST,Utah State Aggies
UVA,Virginia Cavaliers
VERMNT,Vermont Catamounts
W KY,Western Kentucky Hilltoppers
WAGNER,Wagner Seahawks
WASHST,Washington State Cougars
WISC,Wisconsin Badgers
YALE,Yale Bulldogs
